tailcall_poke	32	.maps+fentry+license	maps,tailcall
test_d_path_check_types	32	.maps+fentry+license	maps,vmlinux,kfunc
test_ksyms	32	license+raw_tp	kfunc
test_sockmap_drop_prog	32	.maps+license+sk_skb	maps
token_lsm	32	license+lsm	vmlinux
tracing_failure	32	fentry+fexit+license	vmlinux,spinlock
cg_storage_multi_egress_only	33	.maps+cgroup_skb	maps,atomics
lru_lock_nmi	33	.maps+license+perf_event	maps,vmlinux,atomics
nested_acquire	33	license+tp_btf	vmlinux
summarization_freplace	33	freplace+license	vmlinux
tailcall3	33	.maps+license+tc	maps,tailcall
test_core_reloc_ptr_as_arr	33	license+raw_tracepoint	core
test_map_init	33	.maps+license+tp	maps,vmlinux
bpf_iter_bpf_rhash_map	34	.maps+iter+license	maps,vmlinux
bprm_opts	34	.maps+license+lsm	maps
lsm_tailcall	34	.maps+license+lsm	maps,vmlinux,tailcall
map_excl	34	.maps+fentry.s+license	maps
tailcall6	34	.maps+license+tc	maps,tailcall
bpf_iter_test_kern5	35	.maps+iter+license	maps,vmlinux
btf_dump_test_case_multidim	35		-
htab_reuse	35	.maps+license	maps,spinlock
task_local_storage_exit_creds	35	.maps+fentry+license	maps,vmlinux,atomics
verifier_jit_inline	35	fentry+license	vmlinux
test_lwt_reroute	36	license+lwt_xmit	-
test_task_pt_regs	36	license+uprobe	vmlinux
bpf_iter_vma_offset	37	iter+license	vmlinux
get_func_args_fsession_test	37	fsession+license	vmlinux
kfunc_call_test_subprog	37	license+tc	bpf2bpf,kfunc
tailcall_bpf2bpf1	37	.maps+license+tc	maps,bpf2bpf,tailcall
test_endian	37	license+raw_tp	vmlinux
test_libbpf_get_fd_by_id_opts	37	.maps+license+lsm	maps,vmlinux
cgroup_iter	38	iter+license	vmlinux
getpeername_unix_prog	38	cgroup+license	core,vmlinux,cast_kfunc
getsockname_unix_prog	38	cgroup+license	core,vmlinux,cast_kfunc
recvmsg_unix_prog	38	cgroup+license	core,vmlinux,cast_kfunc
test_pe_preserve_elems	38	.maps+license+raw_tp	maps
verifier_mul	38	fentry	-
fentry_many_args	39	fentry+license	-
tailcall5	39	.maps+license+tc	maps,tailcall
test_prog_array_init	39	.maps+raw_tp	maps,vmlinux,tailcall
bpf_iter_bpf_percpu_array_map	40	.maps+iter+license	maps,vmlinux
btf_type_tag_user	40	fentry	vmlinux
cgroup_ancestor	40	license+tc	core,vmlinux
get_branch_snapshot	40	fexit+license	vmlinux
recvmsg4_prog	40	cgroup+license	-
test_autoload	40	fentry+license+raw_tp	core,vmlinux
test_skc_to_unix_sock	40	fentry+license	vmlinux
uprobe_multi_pid_filter	40	license+uprobe.multi	vmlinux
bpf_qdisc_fail__incompl_ops	41	.struct_ops+license+struct_ops	vmlinux
cgroup_preorder	41	cgroup+license	vmlinux
kprobe_write_ctx	41	fentry+freplace+kprobe+kprobe.multi+license	vmlinux
missed_tp_recursion	41	fentry+kprobe+license+tp	vmlinux
csum_diff_test	42	license+tc	-
nested_trust_success	42	.maps+license+tp_btf	maps,vmlinux
tailcall_bpf2bpf_hierarchy1	42	.maps+license+tc	maps,bpf2bpf,tailcall
test_xdp_update_frags	42	license+version+xdp.frags	-
uptr_update_failure	42	.maps+license+syscall	maps,vmlinux,spinlock
iters_task_vma	43	license+raw_tp	vmlinux,iters
mptcp_sockmap	43	.maps+license+sk_skb+sockops	maps
recursion	43	.maps+fentry+license	maps,vmlinux
sockopt_qos_to_cc	43	cgroup+license	-
tailcall_bpf2bpf2	43	.maps+license+tc	maps,bpf2bpf,tailcall
tailcall_sleepable	43	.maps+license+uprobe+uprobe.s	maps,tailcall
tracing_multi_rollback	43	fentry+fentry.multi+fexit.multi+license	vmlinux
uprobe_multi_session_recursive	43	license+uprobe.session	vmlinux
empty_skb	44	license+lwt_xmit+tc	-
struct_ops_private_stack_recur	44	.struct_ops+license+struct_ops	vmlinux,bpf2bpf,kfunc
tailcall_cgrp_storage	44	.maps+cgroup_skb+license	maps,vmlinux,tailcall
task_storage_nodeadlock	44	.maps+license+lsm.s	maps,vmlinux,atomics
test_hash_large_key	44	.maps+license+raw_tracepoint	maps
test_ksyms_btf_write_check	44	license+raw_tp	vmlinux,bpf2bpf,kfunc
uprobe_multi_session_single	44	license+uprobe.session	-
bind_perm	45	cgroup+license	-
connect_unix_prog	45	cgroup+license	core,vmlinux,cast_kfunc
inner_array_lookup	45	.maps+license+raw_tp	maps
sendmsg_unix_prog	45	cgroup+license	core,vmlinux,cast_kfunc
tailcall_bpf2bpf6	45	.maps+license+tc	maps,bpf2bpf,tailcall
tailcall_bpf2bpf_hierarchy_fentry	45	.maps+fentry+license	maps,vmlinux,bpf2bpf,tailcall
test_btf_nokv	45	.maps+dummy_tracepoint+license	maps,bpf2bpf
test_sockmap_change_tail	45	.maps+license+sk_skb	maps,vmlinux
recvmsg6_prog	46	cgroup+license	-
test_btf_newkv	46	.maps+dummy_tracepoint+license	maps,bpf2bpf
test_core_reloc_primitives	46	license+raw_tracepoint	core
test_lookup_key	46	license+lsm.s	vmlinux,kfunc
tailcall1	47	.maps+license+tc	maps,tailcall
test_core_reloc_ints	47	license+raw_tracepoint	core
test_xdp_with_cpumap_helpers	47	.maps+license+xdp+xdp.frags	maps
uprobe_multi_session_cookie	47	license+uprobe.session	vmlinux
kptr_xchg_inline	48	.bss.+license+tc	-
load_bytes_relative	48	.maps+cgroup_skb	maps
test_ctx	48	fentry+license+syscall	vmlinux,atomics,kfunc
test_fsverity	48	license+lsm.s	vmlinux
timer_interrupt	48	.maps+fentry+license	maps,vmlinux,timer
bpf_iter_task_btf	49	iter+license	core
for_each_multi_maps	49	.maps+license+tc	maps,vmlinux,iters
lru_bug	49	.maps+fentry+license	maps,vmlinux
test_core_reloc_nesting	49	license+raw_tracepoint	core
test_global_func2	49	tc	bpf2bpf
test_xdp_adjust_tail_grow	49	license+xdp	-
verifier_arena_globals2	49	.maps+license+syscall	maps,vmlinux,arena
bpf_iter_bpf_percpu_hash_map	50	.maps+iter+license	maps,vmlinux
test_btf_decl_tag	50	.maps+fentry	maps,vmlinux,bpf2bpf
test_core_read_macros	50	license+raw_tracepoint	core,vmlinux
test_ksyms_module	50	license+tc	vmlinux,kfunc
test_xdp_with_devmap_helpers	50	.maps+license+xdp+xdp.frags	maps
test_mmap	51	.maps+license+raw_tracepoint	maps
test_stack_var_off	51	license+tracepoint	-
test_subprogs_extable	51	.maps+fexit+license	maps,vmlinux,iters
bpf_iter_bpf_sk_storage_map	52	.maps+iter+license	maps,vmlinux
bpf_iter_test_kern4	52	iter+license	vmlinux
exhandler_kern	52	license+tp_btf	core,vmlinux
rbtree_btf_fail__add_wrong_type	52	.data.+license+tc	core,vmlinux,spinlock
struct_ops_autocreate	52	.struct_ops+.struct_ops.link+license+struct_ops	-
test_ns_current_pid_tgid	52	.maps+cgroup+license+sk_msg+tracepoint	maps
test_xdp_adjust_tail_shrink	52	license+xdp	-
bpf_iter_bpf_array_map	53	.maps+iter+license	maps,vmlinux
connect_ping	53	cgroup+license	atomics
sk_storage_omem_uncharge	53	.maps+fentry+fexit+license	maps,core,vmlinux
test_attach_probe_manual	53	kprobe+kretprobe+license+uprobe+uretprobe	core,vmlinux
test_perf_branches	53	license+perf_event	-
missed_kprobe_recursion	54	fentry+kprobe+kprobe.multi+kprobe.session+license	vmlinux
strncmp_test	54	license+tp	-
timer_crash	54	.maps+fentry+license	maps,vmlinux,spinlock,timer
arena_spin_lock	55	.maps+license+tc	maps,vmlinux,arena
test_global_func4	55	tc	bpf2bpf
test_ksyms_btf	55	license+raw_tp	vmlinux,kfunc
bpf_iter_ipv6_route	56	iter+license	vmlinux
dummy_st_ops_success	56	.struct_ops+license+struct_ops+struct_ops.s	vmlinux
normal_map_btf	56	.maps+fentry+license	maps,vmlinux,spinlock
struct_ops_private_stack	56	.struct_ops+license+struct_ops	vmlinux,bpf2bpf,kfunc
struct_ops_private_stack_fail	56	.struct_ops+license+struct_ops	vmlinux,bpf2bpf,kfunc
test_core_reloc_bitfields_probed	56	license+raw_tracepoint	core
cg_storage_multi_isolated	57	.maps+cgroup_skb	maps,atomics
cg_storage_multi_shared	57	.maps+cgroup_skb	maps,atomics
kprobe_multi_session_cookie	57	fentry+kprobe.session+license	vmlinux
mmap_inner_array	57	.maps+fentry+license	maps,vmlinux
test_dst_clear	57	license+tc	vmlinux,kfunc,cast_kfunc
bpf_iter_setsockopt	58	iter+license	vmlinux
cgroup_getset_retval_getsockopt	58	cgroup	atomics
epilogue_tailcall	58	.maps+.struct_ops.link+license+struct_ops+syscall	maps,vmlinux,bpf2bpf,tailcall
sendmsg4_prog	58	cgroup+license	-
tailcall2	58	.maps+license+tc	maps,tailcall
twfw	58	.maps+cgroup_skb	maps
arena_htab	59	.maps+license+syscall	maps,core,vmlinux,iters,arena
bpf_iter_sockmap	59	.maps+iter+license	maps,vmlinux
dev_cgroup	59	cgroup+license	-
jit_probe_mem	59	license+tc	vmlinux
perf_event_stackmap	59	.maps+license+perf_event	stacktrace,maps,vmlinux
read_vsyscall	59	fentry+fentry.s+license	vmlinux,kfunc
struct_ops_id_ops_mapping1	59	.struct_ops.link+license+struct_ops+syscall+tp_btf	vmlinux
struct_ops_id_ops_mapping2	59	.struct_ops.link+license+struct_ops+syscall+tp_btf	vmlinux
udp_limit	59	.maps+cgroup	maps,atomics
verifier_xdp	59	.maps+license+xdp	maps
bpf_iter_setsockopt_unix	60	iter+license	vmlinux
btf_data	60		-
read_cgroupfs_xattr	60	license+lsm.s	core,vmlinux,iters
test_core_reloc_misc	60	license+raw_tracepoint	core
test_sockmap_strp	60	.maps+license+sk_skb	maps
test_sockmap_pass_prog	61	.maps+license+sk_skb	maps
bpf_iter_task_vmas	62	iter+license	vmlinux
test_map_lock	62	.maps+cgroup+license	maps,spinlock
btf_dump_test_case_ordering	63		-
string_kfuncs_success	63	license+syscall	vmlinux
task_ls_uptr	63	.maps+license+tp_btf	maps,vmlinux,kfunc
tcp_ca_write_sk_pacing	63	.struct_ops+license+struct_ops	atomics
test_core_reloc_arrays	63	license+raw_tracepoint	core
test_core_reloc_bitfields_direct	63	license+tp_btf	core
verifier_gotol	63	license+socket	-
skb_pkt_end	64	license+tc	core,vmlinux
bpf_iter_bpf_sk_storage_helpers	65	.maps+iter+license	maps,vmlinux
sock_addr_kern	65	license+syscall	vmlinux
tcp_rtt	65	.maps+license+sockops	maps
test_core_extern	65	license+raw_tp	-
test_core_reloc_flavors	65	license+raw_tracepoint	core
test_task_local_data	65	license+syscall	vmlinux
test_xdp_bpf2bpf	66	.maps+fentry+fexit+license	maps
verifier_call_large_imm	66	license+syscall	bpf2bpf
cgroup_storage	67	.maps+cgroup+cgroup_skb+license	maps,atomics
test_fill_link_info	67	fentry.multi+kprobe+kprobe.multi+license+perf_event+tracepoint+uprobe+uprobe.multi	vmlinux
test_stacktrace_build_id	67	.maps+kprobe+license	stacktrace,maps
bpf_iter_task_stack	68	iter+license	vmlinux
decap_sanity	68	license+tc	vmlinux,kfunc,cast_kfunc
stacktrace_map_skip	68	.maps+license+tracepoint	stacktrace,maps,vmlinux
test_sockmap_redir	68	.maps+license+sk_	maps
find_vma	69	license+perf_event+raw_tp	vmlinux
netcnt_prog	69	.maps+cgroup+license	maps,atomics
test_send_signal_kern	69	license+perf_event+tracepoint	vmlinux,kfunc
test_core_reloc_enum64val	70	license+raw_tracepoint	core
test_skmsg_load_helpers	70	.maps+license+sk_msg+sk_skb	maps,vmlinux
test_urandom_usdt	70	license+usdt	vmlinux,atomics
timer_start_deadlock	70	.maps+license+syscall+tp_btf	maps,vmlinux,timer
uprobe_multi_session	70	license+uprobe.session+uprobe.session.s	vmlinux
bpf_iter_ksym	71	iter+license	vmlinux,kfunc
bpf_iter_udp4	71	iter+license	vmlinux
tailcall_bpf2bpf3	71	.maps+license+tc	maps,bpf2bpf,tailcall
test_cgroup1_hierarchy	71	fentry+license+lsm+lsm.s	core,vmlinux,kfunc
test_ksyms_weak	71	license+raw_tp	vmlinux,kfunc
test_sysctl_loop2	71	cgroup+license	bpf2bpf
exceptions_ext	72	fentry+fexit+fmod_ret+freplace+license	vmlinux,bpf2bpf
tailcall_bpf2bpf_hierarchy3	72	.maps+license+tc	maps,bpf2bpf,tailcall
