tailcall_bpf2bpf4	EQUIV
tailcall_bpf2bpf6	EQUIV
tailcall_bpf2bpf_fentry	EQUIV
tailcall_bpf2bpf_fexit	EQUIV
tailcall_bpf2bpf_hierarchy1	EQUIV
tailcall_bpf2bpf_hierarchy2	EQUIV
tailcall_bpf2bpf_hierarchy3	EQUIV
tailcall_bpf2bpf_hierarchy_fentry	EQUIV
tailcall_callback	EQUIV
tailcall_cgrp_storage	EQUIV
tailcall_cgrp_storage_no_storage	EQUIV
tailcall_cgrp_storage_owner	EQUIV
tailcall_freplace	EQUIV
tailcall_poke	EQUIV
tailcall_sleepable	EQUIV
task_local_storage	EQUIV
task_local_storage_exit_creds	EQUIV
task_ls_recursion	EQUIV
task_work_stress	BAIL
tc_bpf2bpf	EQUIV
tc_dummy	EQUIV
tcp_ca_incompl_cong_ops	EQUIV
tcp_ca_kfunc	EQUIV
tcp_ca_unsupp_cong_op	EQUIV
tcp_ca_untrusted_btf_write	BAIL
tcp_ca_update	EQUIV
tcp_ca_write_sk_pacing	EQUIV
tcp_rtt	EQUIV
test_assign_reuse	EQUIV
test_attach_kprobe_sleepable	EQUIV
test_attach_probe	BAIL
test_attach_probe_manual	EQUIV
test_autoattach	EQUIV
test_autoload	BAIL
test_bpf_cookie	EQUIV
test_bpf_ma	BAIL
test_bpf_nf	BAIL
test_btf_decl_tag	EQUIV
test_btf_ext	EQUIV
test_btf_map_in_map	EQUIV
test_btf_newkv	EQUIV
test_btf_nokv	EQUIV
test_btf_skc_cls_ingress	UNKNOWN
test_build_id	BAIL
test_cgroup1_hierarchy	EQUIV
test_cgroup_link	EQUIV
test_check_mtu	EQUIV
test_cls_redirect	TIMEOUT
test_cls_redirect_dynptr	BAIL
test_cls_redirect_subprogs	TIMEOUT
test_core_autosize	BAIL
test_core_read_macros	EQUIV
test_core_reloc_existence	EQUIV
test_core_reloc_flavors	BAIL
test_core_reloc_ints	BAIL
test_core_reloc_kernel	TIMEOUT
test_core_reloc_misc	BAIL
test_core_reloc_mods	BAIL
test_core_reloc_module	EQUIV
test_core_reloc_nesting	BAIL
test_core_reloc_primitives	BAIL
test_core_reloc_type_based	EQUIV
test_core_retro	EQUIV
test_ctx	BAIL
test_custom_sec_handlers	EQUIV
test_d_path_check_rdonly_mem	EQUIV
test_d_path_check_types	BAIL
test_deny_namespace	EQUIV
test_dst_clear	EQUIV
test_enable_stats	EQUIV
test_endian	EQUIV
test_get_stack_rawtp	BAIL
test_get_stack_rawtp_err	BAIL
test_global_data	EQUIV
test_global_func1	EQUIV
test_global_func16	EQUIV
test_global_func2	EQUIV
test_global_func4	EQUIV
test_global_func7	EQUIV
test_global_func8	EQUIV
test_global_func9	EQUIV
test_global_func_args	EQUIV
test_global_func_ctx_args	BAIL
test_global_map_resize	BAIL
test_global_percpu_data	BAIL
test_hash_large_key	EQUIV
test_helper_restricted	EQUIV
test_kernel_flag	EQUIV
test_ksyms	EQUIV
test_ksyms_btf_null_check	EQUIV
test_l4lb	UNKNOWN
test_l4lb_noinline	UNKNOWN
test_l4lb_noinline_dynptr	BAIL
test_ldsx_insn	EQUIV
test_legacy_printk	EQUIV
test_libbpf_get_fd_by_id_opts	BAIL
test_link_pinning	EQUIV
test_log_buf	EQUIV
test_lookup_and_delete	EQUIV
test_lookup_key	EQUIV
test_lwt_ip_encap	EQUIV
test_lwt_redirect	EQUIV
test_lwt_reroute	EQUIV
test_lwt_seg6local	BAIL
test_map_in_map_invalid	EQUIV
test_map_init	EQUIV
test_map_lock	EQUIV
test_map_lookup_percpu_elem	EQUIV
test_map_ops	EQUIV
test_migrate_reuseport	EQUIV
test_misc_tcp_hdr_options	UNKNOWN
test_mmap	EQUIV
test_module_attach	EQUIV
test_netfilter_link_attach	EQUIV
test_ns_current_pid_tgid	EQUIV
test_obj_id	EQUIV
test_overhead	EQUIV
test_parse_tcp_hdr_opt	TIMEOUT
test_parse_tcp_hdr_opt_dynptr	BAIL
test_pe_preserve_elems	EQUIV
test_perf_branches	EQUIV
test_perf_buffer	EQUIV
test_perf_link	EQUIV
test_perf_skip	EQUIV
test_pinning	NOPROGS
test_pinning_devmap	NOPROGS
test_pinning_htab	NOPROGS
test_pinning_invalid	NOPROGS
test_pkt_access	EQUIV
test_pkt_md_access	EQUIV
test_probe_read_user_str	EQUIV
test_probe_user	BAIL
test_ptr_untrusted	EQUIV
test_queue_map	EQUIV
test_raw_tp_test_run	EQUIV
test_rdonly_maps	EQUIV
test_ringbuf	EQUIV
test_seg6_loop	TIMEOUT
test_select_reuseport_kern	BAIL
test_send_signal_kern	EQUIV
test_sig_in_xattr	EQUIV
test_signed_loader	EQUIV
test_signed_loader_data	EQUIV
test_signed_loader_lsm	EQUIV
test_signed_loader_map	EQUIV
test_sk_assign	BAIL
test_sk_assign_libbpf	EQUIV
test_sk_lookup	BAIL
test_sk_lookup_kern	EQUIV
test_sk_storage_trace_itself	EQUIV
test_skb_ctx	EQUIV
test_skb_helpers	EQUIV
test_skmsg_load_helpers	EQUIV
test_sleepable_tracepoints	EQUIV
test_snprintf_single	BAIL
test_sock_fields	BAIL
test_sockmap_change_tail	EQUIV
test_sockmap_drop_prog	EQUIV
test_sockmap_invalid_update	EQUIV
test_sockmap_listen	EQUIV
test_sockmap_msg_pop_data	EQUIV
test_sockmap_pass_prog	EQUIV
test_sockmap_progs_query	EQUIV
test_sockmap_redir	EQUIV
test_sockmap_skb_verdict_attach	EQUIV
test_sockmap_strp	EQUIV
test_spin_lock	EQUIV
test_spin_lock_fail	BAIL
test_stack_map	EQUIV
test_stack_var_off	EQUIV
test_stacktrace_build_id	BAIL
test_static_linked1	EQUIV
test_static_linked2	EQUIV
test_subprogs	EQUIV
test_subprogs_extable	EQUIV
test_subprogs_unused	EQUIV
test_subskeleton_lib2	NOPROGS
test_sysctl_loop1	BAIL
test_sysctl_loop2	BAIL
test_sysctl_prog	BAIL
test_task_local_data	TIMEOUT
test_task_pt_regs	EQUIV
test_task_under_cgroup	EQUIV
test_tc_bpf	EQUIV
test_tc_change_tail	EQUIV
test_tc_dtime	EQUIV
test_tc_edt	EQUIV
test_tc_link	EQUIV
test_tc_neigh	EQUIV
test_tc_neigh_fib	EQUIV
test_tc_peer	EQUIV
test_tc_qevent	EQUIV
test_tc_tunnel	BAIL
test_tcp_custom_syncookie	BAIL
test_tcp_estats	EQUIV
test_tcp_hdr_options	UNKNOWN
test_tcpbpf_kern	EQUIV
test_time_tai	EQUIV
test_trace_ext	EQUIV
test_trace_ext_tracing	EQUIV
test_tracepoint	EQUIV
test_trampoline_count	EQUIV
test_tunnel_kern	BAIL
test_unpriv_bpf_disabled	EQUIV
test_uprobe	EQUIV
test_uprobe_autoattach	EQUIV
test_varlen	BAIL
test_verif_scale1	UNKNOWN
test_verif_scale2	UNKNOWN
test_verif_scale3	UNKNOWN
test_verify_pkcs7_sig	BAIL
test_vmlinux	EQUIV
test_wakeup_source	BAIL
test_xdp	EQUIV
test_xdp_adjust_tail_grow	EQUIV
test_xdp_adjust_tail_shrink	EQUIV
test_xdp_attach_fail	EQUIV
test_xdp_bpf2bpf	EQUIV
test_xdp_context_test_run	EQUIV
test_xdp_devmap_helpers	BAIL
test_xdp_devmap_tailcall	EQUIV
test_xdp_do_redirect	EQUIV
test_xdp_dynptr	BAIL
test_xdp_link	EQUIV
test_xdp_loop	EQUIV
test_xdp_meta	BAIL
test_xdp_noinline	TIMEOUT
test_xdp_pull_data	EQUIV
test_xdp_update_frags	EQUIV
test_xdp_vlan	EQUIV
test_xdp_with_cpumap_frags_helpers	EQUIV
test_xdp_with_cpumap_helpers	EQUIV
test_xdp_with_devmap_frags_helpers	EQUIV
test_xdp_with_devmap_helpers	EQUIV
timer	BAIL
timer_crash	EQUIV
timer_interrupt	BAIL
timer_lockup	EQUIV
timer_mim_reject	EQUIV
timer_start_deadlock	BAIL
timer_start_delete_race	BAIL
token_kallsyms	EQUIV
token_lsm	EQUIV
trace_dummy_st_ops	EQUIV
trace_printk	BAIL
tracing_failure	EQUIV
tracing_multi_bench	EQUIV
tracing_multi_fail	EQUIV
tracing_multi_rollback	EQUIV
tracing_struct	EQUIV
tracing_struct_int128	EQUIV
tracing_struct_many_args	EQUIV
twfw	EQUIV
udp_limit	BAIL
update_map_in_htab	NOPROGS
uprobe_multi_bench	EQUIV
uprobe_multi_consumers	EQUIV
uprobe_multi_pid_filter	EQUIV
uprobe_multi_session	EQUIV
uprobe_multi_session_cookie	EQUIV
uprobe_multi_session_recursive	EQUIV
uprobe_multi_session_single	EQUIV
uprobe_multi_usdt	EQUIV
uprobe_syscall	EQUIV
user_ringbuf_success	BAIL
verifier_kfunc_prog_types	EQUIV
verifier_mtu	EQUIV
vrf_socket_lookup	EQUIV
wq	BAIL
xdp_dummy	EQUIV
xdp_flowtable	BAIL
xdp_metadata	EQUIV
xdp_metadata2	EQUIV
xdp_redirect_map	BAIL
xdp_redirect_multi_kern	EQUIV
xdp_tx	EQUIV
xdpwall	EQUIV
xfrm_info	EQUIV
xsk_xdp_progs	EQUIV
